,price,location,baths,bedrooms,Total_Area
5229,258.0,DHA Defence,3,3,2722.51
5231,135.0,FECHS,6,5,2178.008
5235,130.0,Margalla Town,3,3,11979.043999999998
5236,67.0,Bahria Town,2,2,1361.255
5237,650.0,F-10,6,6,5445.0
5238,655.0,F-10,6,6,5445.0
5239,660.0,F-10,6,6,5445.0
5240,665.0,F-10,6,6,5445.0
5241,675.0,F-10,6,6,5445.0
5242,670.0,F-10,6,6,5445.0
5243,37.0,Burma Town,0,0,1089.004
5244,285.0,G-8,5,4,18240.817
5245,130.0,Pakistan Town,6,5,2722.51
5246,185.0,G-11,1,2,1361.255
5247,61.0,Bani Gala,3,3,11434.542
5248,105.0,Ghauri Town,0,0,1361.255
5249,68.0,Ghauri Town,3,2,1361.255
5250,500.0,DHA Defence,6,6,5445.0
5251,100.0,I-14,5,4,15246.056
5483,70.0,Ghauri Town,3,2,1361.255
5484,150.0,Pakistan Town,6,5,2722.51
5485,180.0,Korang Town,5,5,26136.096
5486,67.0,Koral Town,7,7,14973.804999999998
5487,107.0,FECHS,5,4,2178.008
5489,700.0,F-11,6,5,5445.0
5490,200.0,G-11,2,2,2178.008
5491,130.0,Soan Garden,5,4,1633.506
5492,150.0,FECHS,7,5,2178.008
5493,190.0,I-10,3,4,1633.506
5495,525.0,D-12,9,7,29675.359
5496,270.0,G-11,4,5,2178.008
5497,350.0,G-13,6,7,2722.51
5499,900.0,F-11,0,7,5445.0
5501,900.0,F-11,0,7,5445.0
5503,180.0,National Police Foundation,6,6,2722.51
5504,28.85,Al Huda Town,2,3,816.7529999999999
5505,890.0,F-11,9,7,5445.0
5506,875.0,F-11,0,7,5445.0
5507,130.0,National Police Foundation,6,5,2722.51
5508,115.0,Meherban Colony,6,6,1361.255
5509,450.0,G-15,10,11,81675.0
5511,54.9,Ali Pur,2,3,1633.506
5518,140.0,Bahria Town,3,3,1361.255
5519,90.0,E-16,5,5,1905.757
5520,255.0,G-13,7,4,1905.757
5521,200.0,G-8,4,4,15246.056
5522,225.0,G-10,4,5,1633.506
5523,180.0,National Police Foundation,6,6,2722.51
5524,75.0,Ghauri Town,5,4,1089.004
5525,90.0,I-13,5,6,1089.004
5803,2800.0,G-6,0,9,179685.0
5804,225.0,G-10,4,5,1633.506
5808,48.0,Arsalan Town,2,2,1361.255
5809,155.0,National Police Foundation O-9,4,4,2722.51
5810,155.0,Pakistan Town,6,5,2994.7609999999995
5811,155.0,PWD Housing Scheme,6,5,2722.51
5813,80.0,Qutbal Town,5,6,1361.255
5814,90.0,Ghauri Town,0,2,1361.255
5815,50.0,Alipur Farash,3,4,816.7529999999999
5816,325.0,Bani Gala,5,4,2722.51
5817,150.0,Bahria Town,0,3,1361.255
5818,135.0,Soan Garden,6,4,1905.757
5819,58.0,Koral Town,3,5,1361.255
5821,150.0,I-10,3,4,1361.255
5822,188.0,G-15,6,6,26952.849
5823,245.0,DHA Defence,5,4,2722.51
5824,335.0,Bahria Town,6,5,70785.0
5825,70.0,Burma Town,6,8,1361.255
5826,53.0,Ghauri Town,3,2,11979.043999999998
5827,300.0,E-11,6,5,2722.51
5828,85.0,Chak Shahzad,4,4,17696.315
5829,75.0,Ghauri Town,5,4,1089.004
5830,150.0,Chatha Bakhtawar,0,0,1361.255
5831,85.0,Ghauri Town,4,4,1361.255
5832,140.0,Bhara kahu,6,6,2722.51
5833,270.0,G-15,8,7,3811.514
5834,570.0,F-6,0,0,48460.67799999999
6108,80.0,C-18,3,3,2722.51
6109,400.0,E-11,5,4,2178.008
6110,140.0,FECHS,6,4,2450.259
6111,130.0,F-17,4,4,1905.757
6112,195.0,G-14,0,0,29675.359
6113,270.0,Pakistan Town,6,7,65340.0
6114,280.0,G-8,0,0,1361.255
6115,58.0,Bhara kahu,3,2,1905.757
6116,160.0,D-12,3,3,1089.004
6119,180.0,Bani Gala,5,5,1633.506
6120,95.0,Ghauri Town,6,6,1361.255
6121,62.5,H-13,0,3,1361.255
6122,190.0,Soan Garden,6,6,33759.124
6123,127.0,FECHS,6,5,1905.757
6124,275.0,DHA Defence,5,4,29130.857
6125,46.0,Arsalan Town,3,2,1361.255
6126,140.0,F-10,4,4,816.7529999999999
6130,360.0,Chak Shahzad,9,4,2722.51
6131,225.0,E-11,5,5,2178.008
6133,75.0,Royal City,5,5,15246.056
6134,49.0,Alipur Farash,4,4,1633.506
6407,265.0,Islamabad Highway,7,8,10890.0
6408,130.0,National Police Foundation,0,0,2722.51
6409,145.0,CBR Town,7,6,2178.008
6410,65.0,Airport Enclave,3,3,1361.255
6411,90.0,Shaheen Town,4,4,20418.825
6412,500.0,Emaar Canyon Views,6,5,65340.0
6414,350.0,E-11,6,5,2178.008
6415,260.0,DHA Defence,0,0,2722.51
6417,78.0,Ghauri Town,5,4,1089.004
6418,180.0,National Police Foundation,5,4,2722.51
6419,180.0,National Police Foundation,6,7,2722.51
6420,50.83,Koral Town,2,2,1089.004
6421,1300.0,F-6,5,3,98010.0
6422,95.0,I-14,0,0,1089.004
6423,750.0,F-10,5,5,5445.0
6424,140.0,Bahria Town,4,3,1361.255
6425,260.0,G-11,7,0,1905.757
6426,850.0,F-10,6,6,59895.0
6427,280.0,G-11,7,7,2178.008
6428,85.0,Soan Garden,4,4,1361.255
6430,300.0,Korang Town,6,6,34848.128
6431,285.0,G-8,5,4,18240.817
6433,245.0,DHA Defence,5,4,3267.012
6434,65.0,Ghauri Town,3,2,1361.255
6435,160.0,FECHS,5,5,1905.757
6753,95.0,National Police Foundation,4,4,1361.255
6754,1300.0,F-11,0,0,87120.0
6755,180.0,I-9,3,4,1905.757
6756,650.0,Bani Gala,10,9,98010.0
